District code,State name,District name,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Illiterate_Education,Age not stated,literate education,age 0-29,age 30-49,age 50>
51,PUNJAB,Rupnagar,684627,357485,327142,304481,14492,2094,361045,118,653,124100,2196,560527,365300,185424,131707
52,PUNJAB,Sahibzada Ajit Singh Nagar,994628,529253,465375,476276,29488,5342,478908,257,1257,172226,638,822402,540872,281462,171656
53,PUNJAB,Sangrur,1655169,878029,777140,389410,179116,2406,1077438,268,3222,570103,4084,1085066,904316,435148,311621
54,PUNJAB,Barnala,595527,317522,278005,112859,13100,622,467751,108,246,212388,430,383139,322607,158413,114077
55,CHANDIGARH,Chandigarh,1055450,580663,474787,852574,51447,8720,138329,1160,1960,184265,346,871185,602411,303748,148945
56,UTTARAKHAND,Uttarkashi,330086,168597,161489,324859,3554,353,167,563,74,83896,418,246190,202426,75997,51245
57,UTTARAKHAND,Chamoli,391605,193991,197614,385818,4395,428,323,190,11,61950,835,329655,229715,93182,67873
58,UTTARAKHAND,Rudraprayag,242285,114589,127696,240170,1486,171,38,9,4,45428,472,196857,141848,54979,44986
59,UTTARAKHAND,Tehri Garhwal,618931,297986,320945,609835,7374,656,290,32,91,133013,1238,485918,368324,139371,109998
60,UTTARAKHAND,Dehradun,1696694,892199,804495,1424916,202057,13416,36454,11778,5117,296538,5851,1400156,968517,446046,276280
61,UTTARAKHAND,Garhwal,687271,326829,360442,660507,22931,2161,619,58,212,123071,878,564200,380765,160183,145445
62,UTTARAKHAND,Pithoragarh,483439,239306,244133,475105,6015,1401,260,185,13,88036,679,395403,273494,116749,92517
63,UTTARAKHAND,Bageshwar,259898,124326,135572,257509,1440,397,46,102,7,49539,169,210359,147488,60569,51672
64,UTTARAKHAND,Almora,622506,291081,331425,611250,7752,1895,256,201,31,109556,679,512950,351595,141238,128994
65,UTTARAKHAND,Champawat,259648,131125,128523,249563,8693,870,336,24,28,62429,97,197219,156916,60722,41913
66,UTTARAKHAND,Nainital,954605,493666,460939,809717,120742,5091,17419,570,356,166573,1909,788032,562548,243095,147053
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1104452,372267,6064,162768,505,738,438598,1695,1210304,1042614,392370,212223
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1214935,648119,4878,17364,709,2501,580970,1688,1309452,1207120,435385,246229
69,HARYANA,Panchkula,561293,299679,261614,490702,23451,2583,40951,1008,1626,119222,1533,442071,309078,157076,93606
70,HARYANA,Ambala,1128350,598703,529647,955096,22143,3705,138202,381,4845,222031,680,906319,617859,308126,201685
71,HARYANA,Yamunanagar,1214205,646718,567487,984929,138569,3646,84455,161,1555,319428,298,894777,694813,317708,201386
72,HARYANA,Kurukshetra,964655,510976,453679,805175,15970,1943,140395,214,375,266638,1575,698017,552034,250830,160216
73,HARYANA,Kaithal,1074304,571003,503301,974520,8232,1769,87558,265,351,369869,1977,704435,630194,265813,176320
74,HARYANA,Karnal,1505324,797712,707612,1341002,31650,2049,126207,532,1516,429220,5259,1076104,884972,380409,234684
75,HARYANA,Panipat,1205437,646857,558580,1083936,86622,2261,25064,289,4647,296212,354,909225,739075,298764,167244
76,HARYANA,Sonipat,1450001,781299,668702,1390149,45100,1405,4484,336,6033,344813,1266,1105188,855201,360216,233318
77,HARYANA,Jind,1334152,713006,621146,1276669,23016,889,29103,172,2594,419624,885,914528,784085,335704,213478
78,HARYANA,Fatehabad,942011,495360,446651,779243,8360,996,150969,171,1172,344534,1788,597477,555745,237009,147469
79,HARYANA,Sirsa,1295189,682582,612607,940255,9524,2186,338962,370,2256,412353,2432,882836,750228,334344,208185
80,HARYANA,Hisar,1743931,931562,812369,1701061,21650,1945,12270,334,3620,505251,4456,1238680,1017830,456536,265109
81,HARYANA,Bhiwani,1634445,866672,767773,1611031,15515,873,2401,254,1016,459364,2297,1175081,964960,405760,261428
82,HARYANA,Rohtak,1061204,568479,492725,1043887,8185,732,3916,200,3491,248795,424,812409,605741,269354,185685
83,HARYANA,Jhajjar,958405,514667,443738,945693,8247,734,1042,105,645,201028,979,757377,549975,245095,162356
84,HARYANA,Mahendragarh,922088,486665,435423,913251,5660,301,1737,75,644,245602,1438,676486,530000,229392,161258
85,HARYANA,Rewari,900332,474335,425997,889133,5713,701,1804,202,1525,206827,324,693505,518747,230704,150557
86,HARYANA,Gurgaon,1514432,816690,697742,1408801,70842,9725,15097,944,7451,263720,493,1250712,875531,428101,210307
87,HARYANA,Mewat,1089263,571162,518101,221846,862647,1235,592,516,1453,619284,729,469979,790930,186916,110688
88,HARYANA,Faridabad,1809733,966110,843623,1588407,161680,9743,34572,640,4883,346567,1784,1463166,1095602,481318,231029
89,HARYANA,Palwal,1042708,554497,488211,826342,208566,932,3971,345,915,393825,563,648883,684189,224043,133913
90,NCT OF DELHI,North West,3656539,1960922,1695617,3211042,291330,14100,92129,2281,43460,416720,1469,3239819,2138591,1013424,503055
91,NCT OF DELHI,North,887978,475002,412976,726443,119792,7256,19066,1824,13049,125277,363,762701,506601,256501,124513
92,NCT OF DELHI,North East,2241624,1188425,1053199,1529337,657585,9123,17424,2388,24673,257966,2867,1983658,1393078,581016,264663
93,NCT OF DELHI,East,1709346,907500,801846,1410852,178807,15792,53027,2643,46927,169693,1102,1539653,948963,497157,262124
94,NCT OF DELHI,New Delhi,142004,77942,64062,124482,8480,4852,2933,312,679,10098,242,131906,76076,43913,21773
95,NCT OF DELHI,Central,582320,307821,274499,364148,194278,3527,13038,362,5886,87286,689,495034,317650,169533,94448
96,NCT OF DELHI,West,2543243,1356240,1187003,2087294,149807,18337,271752,1993,11322,308139,2610,2235104,1399165,732515,408953
97,NCT OF DELHI,South West,2292958,1246046,1046912,2102743,112691,31226,31692,2784,9215,278832,4119,2014126,1296955,683209,308675
98,NCT OF DELHI,South,2731929,1467428,1264501,2155759,445914,41880,69520,3862,11020,328287,3241,2403642,1588001,785085,355602
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1437144,50688,2077,474853,938,1988,710223,15584,1258945,1167889,502211,283484
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1433067,118673,1542,216997,241,1935,723454,21173,1051238,1058044,453114,242361
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,2073356,235741,1901,20072,285,30850,1015331,14634,1348606,1543867,517271,288165
102,RAJASTHAN,Churu,2039547,1051446,988101,1777879,249736,958,402,188,7104,910226,15453,1129321,1293193,458725,272176
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1905682,228178,1004,275,56,548,712584,14015,1424461,1298780,494124,330126
104,RAJASTHAN,Alwar,3674179,1939026,1735153,3039279,547335,2696,64532,4384,13221,1384905,1321,2289274,2346721,836000,490137
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,2143046,371286,1576,23456,899,5758,1104824,13458,1443638,1659515,546362,329127
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,1127520,72258,688,1356,92,2739,552106,1084,654410,815651,248416,141365
107,RAJASTHAN,Karauli,1458248,783639,674609,1370977,81553,602,297,70,3424,668926,8345,789322,947173,310688,192042
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,1165505,155681,945,812,177,9991,586492,1383,749059,841697,309237,183234
109,RAJASTHAN,Dausa,1634409,857787,776622,1582335,45488,439,296,94,3737,681980,18438,952429,1047136,358718,210117
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,5819980,687452,12708,18782,1020,81079,2046038,4493,4580140,4091148,1646480,884057
111,RAJASTHAN,Sikar,2677333,1374990,1302343,2342076,327583,1122,356,177,4050,967497,18292,1709836,1672813,605002,381226
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,2833443,454487,1912,366,163,12940,1533137,1808,1774606,2088323,754143,463469
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,3224399,411558,6035,4123,514,36697,1591957,1777,2095208,2359786,836322,489280
114,RAJASTHAN,Jaisalmer,669919,361708,308211,497045,168129,874,1723,98,1521,397649,679,272270,448969,140294,79977
115,RAJASTHAN,Barmer,2603751,1369022,1234729,2244882,321192,1157,450,157,34010,1501858,18524,1101893,1731122,527629,326476
116,RAJASTHAN,Jalor,1828730,936634,892096,1732852,78990,730,231,144,14640,1033534,12257,795196,1176496,390598,249379
