District name,State name,gender_ratio,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,youth_pct,working_pct,elderly_pct,pop_log,literacy_rate,literacy_class
Koch Bihar,WEST BENGAL,0.9421318845751622,0.7405825859870895,0.25541363406437406,0.0014621760386167716,0.00015927148018896905,0.00015785258058817646,0.5758320249896598,0.2641444780329511,0.1591867009378217,14.851923631627832,0.6902772742654889,Medium
Uttar Dinajpur,WEST BENGAL,0.9387530898104917,0.49314164250745063,0.4992028955144666,0.005554125622602784,0.00015862279499350543,0.00014365838037147662,0.6371624942553274,0.23439560724596908,0.12808042474994463,14.916498356207335,0.5240438237870344,Low
Dakshin Dinajpur,WEST BENGAL,0.9555272462987008,0.7354695766091025,0.24625300368197123,0.014791120316702024,0.0001646506899818407,8.829094970040733e-05,0.5591459878922087,0.2779864413736163,0.1619202327063085,14.332085820830853,0.6812016636878414,Medium
Maldah,WEST BENGAL,0.9443164918468605,0.4799263947333125,0.5127175911824099,0.0033114849035247047,0.0001872722555025327,9.000099026159201e-05,0.6295065363532552,0.23948862389990086,0.1303941366485787,15.199012523975346,0.5086211672802528,Low
Murshidabad,WEST BENGAL,0.9582857807608632,0.33208405014381726,0.6626831218809858,0.002548211121163624,0.00010782950606625433,4.898781737735837e-05,0.6180578948724255,0.2417850034495588,0.13956080169407756,15.77614153626188,0.5732089849850932,Low
Birbhum,WEST BENGAL,0.9556451432783151,0.6228621826608238,0.3706180098012679,0.0031138612221776815,0.0001661715781503219,7.366368928313239e-05,0.5735075108411252,0.2718301486636036,0.1540264915183971,15.068960433342225,0.6154635501786773,Medium
Barddhaman,WEST BENGAL,0.9454950718308478,0.7785452480271298,0.20728875164349161,0.002749572630634826,0.0021606561553174234,0.00020757848040890627,0.537659362158754,0.29355678729153234,0.16752866157360816,15.859009328165012,0.7153394147867662,Medium
Nadia,WEST BENGAL,0.947268939862113,0.7215113398869881,0.2675675361870114,0.006547526898366747,0.00016429290192739376,9.94659029336636e-05,0.5313545940088242,0.2873647341125474,0.1808222385633563,15.457919115581694,0.6961593389581237,Medium
North Twenty Four Parganas,WEST BENGAL,0.9552686853841347,0.7345584284011808,0.2582158390877882,0.002690668257377459,0.0009384820706866614,0.0005812314974723223,0.5099887799743071,0.29660948626148764,0.19192657661541246,16.119073372832474,0.81002241707386,High
Hugli,WEST BENGAL,0.9608616053204427,0.8288546504938717,0.1576700738973156,0.0013226686379864997,0.0004823210841534332,0.00031345434845433484,0.501253183237621,0.30588179872063515,0.19220748865992832,15.523733696139502,0.7860527309936594,Medium
Bankura,WEST BENGAL,0.9567399943963724,0.843440634319374,0.08075516435462318,0.0010746039257380569,0.00010732137524835445,7.228900923464289e-05,0.5400364336606542,0.2821395544883968,0.17733995352372775,15.095520365523672,0.605806086400936,Medium
Puruliya,WEST BENGAL,0.9573298793049547,0.8099067784028955,0.07755634164529379,0.0029507374283944485,0.00021227835767538135,7.132825844719406e-05,0.5726932219383881,0.2610054554172788,0.16523788315475674,14.890552570653256,0.5656146601754538,Low
Haora,WEST BENGAL,0.9393762603371135,0.7290356408178178,0.2619862685357139,0.0017867934397918033,0.0009030873836012115,0.0002593798923676539,0.5334326866911517,0.2934629875408992,0.17177299352230677,15.394495448461546,0.8089370187271046,High
Kolkata,WEST BENGAL,0.9079934113102446,0.7650709610215861,0.20602113463802518,0.008841606744866339,0.003079818195323053,0.0010610017048080212,0.45041735105835534,0.3187483960438491,0.22567001445951182,15.318853240459655,0.9086021864062798,High
South Twenty Four Parganas,WEST BENGAL,0.9555330925602655,0.6316551867866068,0.355683517723253,0.008147306756305256,0.0003409719796504786,0.00030556382222360535,0.5836762758361624,0.2635976819786323,0.15138004212468056,15.914995139215414,0.7323550063520274,Medium
Paschim Medinipur,WEST BENGAL,0.9659850692430063,0.8551601880253801,0.10493929354690497,0.0039379672499521,0.000482628012683613,0.0003414246522803835,0.548574378743263,0.2814343623366163,0.1674450325756998,15.592741328255256,0.7142138684698308,Medium
Purba Medinipur,WEST BENGAL,0.9377173616281483,0.8524486962494174,0.14588976377952756,0.000519635980081929,0.0001463929158387912,6.220717737385631e-05,0.5625487281379548,0.2716397085878284,0.16523658841710206,15.44394214312804,0.799535702896951,Medium
Garhwa,JHARKHAND,0.9350970998061661,0.8349624730870648,0.14717444420253042,0.0129786873745071,9.298570288119603e-05,0.0002804690712920628,0.6508008866148971,0.2147259114110845,0.13426152720323198,14.095249920442777,0.5782743063115369,Low
Chatra,JHARKHAND,0.9532077874647663,0.8660380904528395,0.11191060192580972,0.006295031288175314,0.0008514832877227232,3.356071516925148e-05,0.6641665531994868,0.2137261407287086,0.1214725291163176,13.857503386790459,0.5512692662477011,Low
Kodarma,JHARKHAND,0.9504795464324033,0.8448591919961913,0.1494124332120085,0.0017046906216885234,0.0013179590064487845,4.467657648978931e-05,0.6451548950868331,0.22143247065656418,0.13306499464579152,13.481798508519208,0.5839605505829595,Low
Giridih,JHARKHAND,0.9437865730650553,0.7590356716121291,0.20797031577518305,0.005988614068274698,0.00038315680313918694,0.0002657971419855619,0.6531531310494407,0.21827588434798326,0.12797805251660824,14.709749936050985,0.5715820327674717,Low
Deoghar,JHARKHAND,0.9252008330086113,0.7808867260516074,0.20282251605652002,0.004039346600333898,9.583981480798862e-05,0.0001259991970902228,0.6333208897956065,0.22680726747283814,0.13773722867446833,14.215677656371138,0.5740530121515502,Low
Godda,JHARKHAND,0.9375994760497812,0.7134294747596401,0.22015285283936445,0.02877315003376344,7.384562913811493e-05,9.744577865648155e-05,0.6245414148365765,0.2349653724902954,0.13971212385358467,14.088245476208773,0.5025210288751636,Low
Sahibganj,JHARKHAND,0.9521285530318583,0.5458560866077334,0.3461276049113176,0.07231912613520117,0.00017208906565197854,0.00021293849032694314,0.6475303046237203,0.22758257450457037,0.11970358962146489,13.955766291448013,0.44610266068816506,Low
Pakur,JHARKHAND,0.9891751222217068,0.45548309570401435,0.3586795969001202,0.08425493824006966,0.00039537017087543395,0.00031429707403861747,0.6530004819962195,0.22969896337495085,0.11596562500694119,13.710619931891044,0.39091448232051196,Low
Dhanbad,JHARKHAND,0.9093677184776764,0.8007041941346708,0.1608359437017203,0.004188137249314301,0.003623411102381945,0.00012330102548457116,0.6089934501452233,0.24171322118527674,0.1327795589995407,14.803000578728605,0.7532034984710301,Medium
Bokaro,JHARKHAND,0.9223681426388903,0.7935005551972769,0.1170768014818191,0.006657518437883365,0.002023924396192656,0.0009164391731682126,0.6115597406816562,0.2474749433892733,0.13679430547002663,14.539347454439818,0.7110433344809026,Medium
Lohardaga,JHARKHAND,0.9850921424242034,0.24335303926026983,0.20574720110872907,0.036315208211524716,0.00011043981030338466,7.146105372571948e-05,0.6471426405942095,0.21728491305571795,0.13478854024556616,13.042867686756361,0.5921890902791312,Low
Purbi Singhbhum,JHARKHAND,0.949116409012815,0.6757771307530911,0.08893034148110722,0.01315303635394275,0.01680268570947797,0.00038885418360456493,0.5634876384039715,0.27564791956472745,0.16048866590319885,14.645772702480095,0.770734712080069,Medium
Palamu,JHARKHAND,0.927720505375126,0.8676714767852881,0.1228407691447206,0.003177534153079409,0.000378376065600306,9.691376067146802e-05,0.641575281629842,0.21943131211437472,0.13835315683687918,14.478131518484942,0.5858359507781196,Low
Latehar,JHARKHAND,0.9665806430669848,0.6507060736363411,0.09602491409643758,0.06554943891011833,0.00016506689335853353,0.00017607135291576912,0.6658853500381029,0.21007513294762703,0.12362134755109508,13.496652870266265,0.5195494224034289,Low
